grant_id,org_city,cruz,status,org_name,org_state,state_party,award_type,nsf_total_budget,usaspending_obligated,usaspending_outlaid,estimated_budget,estimated_outlays,estimated_remaining
2201796,PITTSBURGH,TRUE,❌ Terminated,Carnegie-Mellon University,PA,D,Continuing Grant,1051218,1083218,901981.05,1083218,901981.05,181236.94999999995
2315095,SAN ANTONIO,TRUE,❌ Terminated,University of Texas at San Antonio,TX,R,Continuing Grant,3641116,NA,NA,3641116,3641116,0
2236163,ALBUQUERQUE,TRUE,❌ Terminated,University of New Mexico,NM,D,Standard Grant,609429,609429,348712.21,609429,348712.21,260716.78999999998
2243822,BERKELEY,TRUE,🔄 Possibly Reinstated,University of California-Berkeley,CA,D,Standard Grant,3000000,NA,NA,3000000,1079408.543263965,1920591.456736035
2216648,STILLWATER,TRUE,❌ Terminated,Oklahoma State University,OK,R,Standard Grant,2719700,2719700,1547300.07,2719700,1547300.07,1172399.93
2411946,MOBILE,FALSE,❌ Terminated,University of South Alabama,AL,R,Continuing Grant,2746938,1130584,95640.57,2746938,95640.57,2651297.43
2317588,RENO,TRUE,❌ Terminated,"Board of Regents, NSHE, obo University of Nevada, Reno",NV,R,Standard Grant,96228,96228,76875.2,96228,76875.2,19352.800000000003
2329420,SEATTLE,TRUE,❌ Terminated,University of Washington,WA,D,Standard Grant,44360,44360,44251.65,44360,44251.65,108.34999999999854
2131508,COLLEGE PARK,FALSE,❌ Terminated,"University of Maryland, College Park",MD,D,Standard Grant,780000,780000,704140.47,780000,704140.47,75859.53000000003
2201809,MINNEAPOLIS,TRUE,❌ Terminated,University of Minnesota-Twin Cities,MN,D,Continuing Grant,387605,387605,282111.67,387605,282111.67,105493.33000000002
2233683,DAVIS,TRUE,🔄 Possibly Reinstated,University of California-Davis,CA,D,Standard Grant,399048,NA,NA,399048,237361.57631822387,161686.42368177613
2121851,FARGO,FALSE,❌ Terminated,North Dakota State University Fargo,ND,R,Standard Grant,737487,737487,574112.13,737487,574112.13,163374.87
2309308,SAN JOSE,TRUE,❌ Terminated,San Jose State University Foundation,CA,D,Continuing Grant,57342,NA,NA,57939,57939,0
2317780,COLUMBIA,TRUE,❌ Terminated,University of South Carolina at Columbia,SC,R,Standard Grant,399997,399997,174016.46,399997,174016.46,225980.54
2201486,LINCOLN,TRUE,❌ Terminated,University of Nebraska-Lincoln,NE,R,Continuing Grant,1500000,NA,NA,1500000,1500000,0
2224593,EVANSTON,TRUE,❌ Terminated,Northwestern University,IL,D,Standard Grant,1034751,1034751,263683.66,1034751,263683.66,771067.3400000001
2222234,EAST LANSING,TRUE,❌ Terminated,Michigan State University,MI,D,Standard Grant,2230181,2230181,1719871.07,2230181,1719871.07,510309.92999999993
2154123,SALT LAKE CITY,FALSE,❌ Terminated,University of Utah,UT,R,Standard Grant,441200,441200,114726.99,441200,114726.99,326473.01
2225567,LEXINGTON,TRUE,❌ Terminated,University of Kentucky Research Foundation,KY,D,Standard Grant,349591,349591,208566.57,349591,208566.57,141024.43
2228216,IRVINE,TRUE,🔄 Possibly Reinstated,University of California-Irvine,CA,D,Continuing Grant,7500000,NA,NA,7500000,3443835.616438356,4056164.383561644
2224675,AUSTIN,TRUE,❌ Terminated,University of Texas at Austin,TX,R,Continuing Grant,1750171,NA,NA,1750171,1750171,0
2140647,SAN ANTONIO,TRUE,❌ Terminated,University of Texas at San Antonio,TX,R,Standard Grant,119324,NA,NA,119324,119324,0
2305330,SAN FRANCISCO,TRUE,🔄 Possibly Reinstated,University of California-San Francisco,CA,D,Continuing Grant,1250000,834384,460599.28,1250000,460599.28,789400.72
2236374,TEMPE,TRUE,❌ Terminated,Arizona State University,AZ,D,Standard Grant,590387,NA,NA,590387,590387,0
